,Home_Team,Away_Team,Home_Prob,Away_Prob,Home_ML,Away_ML,Home_ML_Prob,Away_ML_Prob,Home_Diff,Away_Diff,Home_KC,Away_KC,Home_Bet,Away_Bet
0,Washington Nationals,Colorado Rockies,0.5417339175684674,0.4582660824315326,-115.0,-105.0,0.5348837209302325,0.5121951219512195,0.00685019663823494,-0.05392903951968697,0.0014727922772205034,0.0,241.03276571307592,0.0
1,New York Yankees,Cleveland Indians,0.6904198270268019,0.3095801729731981,-300.0,240.0,0.75,0.29411764705882354,-0.059580172973198064,0.015462525914374525,0.0,0.0021905245045363933,0.0,358.49466883891256
2,Toronto Blue Jays,Minnesota Twins,0.8253617064508609,0.17463829354913907,-225.0,180.0,0.6923076923076923,0.35714285714285715,0.13305401414316864,-0.18250456359371808,0.0432425545965298,0.0,7076.946757604277,0.0
3,Boston Red Sox,Baltimore Orioles,0.9004398673582507,0.09956013264174934,-300.0,240.0,0.75,0.29411764705882354,0.15043986735825066,-0.1945575144170742,0.042982819245214465,0.0,7034.439249214065,0.0
4,Cincinnati Reds,Los Angeles Dodgers,0.3456829307635545,0.6543170692364455,165.0,-200.0,0.37735849056603776,0.6666666666666665,-0.03167555980248326,-0.012349597430221015,0.0,0.0,0.0,0.0
5,Tampa Bay Rays,Detroit Tigers,0.6781987051066043,0.3218012948933957,-225.0,180.0,0.6923076923076923,0.35714285714285715,-0.014108987201087997,-0.035341562249461445,0.0,0.0,0.0,0.0
6,Miami Marlins,Pittsburgh Pirates,0.753245132883565,0.24675486711643504,-225.0,180.0,0.6923076923076923,0.35714285714285715,0.060937440575872685,-0.11038799002642212,0.01980466818715861,0.0,3241.172581505817,0.0
7,Houston Astros,Arizona Diamondbacks,0.8165746230366276,0.1834253769633724,-250.0,200.0,0.7142857142857143,0.3333333333333333,0.10228890875091334,-0.1499079563699609,0.03580111806281969,0.0,5859.103578806881,0.0
8,Kansas City Royals,Seattle Mariners,0.4845253333306394,0.5154746666693606,115.0,-140.0,0.4651162790697674,0.5833333333333334,0.01940905426087197,-0.06785866666397278,0.0036286492748586726,0.0,593.8538543755459,0.0
9,St. Louis Cardinals,San Diego Padres,0.5525032873778079,0.44749671262219215,-115.0,-105.0,0.5348837209302325,0.5121951219512195,0.01761956644757534,-0.06469840932902737,0.003788206786228689,0.0,619.9665580138285,0.0
10,Texas Rangers,Chicago White Sox,0.26144085839844045,0.7385591416015596,195.0,-250.0,0.3389830508474576,0.7142857142857143,-0.07754219244901711,0.024273427315845253,0.0,0.008495699560545841,0.0,1390.3807029802508
11,San Francisco Giants,Atlanta Braves,0.6523408491538318,0.34765915084616816,-120.0,100.0,0.5454545454545454,0.5,0.10688630369928642,-0.15234084915383184,0.02351498681384301,0.0,3848.392196993105,0.0
12,New York Mets,Philadelphia Phillies,0.4247511536169632,0.5752488463830367,-120.0,100.0,0.5454545454545454,0.5,-0.12070339183758222,0.07524884638303675,0.0,0.01504976927660735,0.0,2463.000090501729
