,Date,Away_Team,Home_Team,Away_Prob_Athletic,Home_Prob_Athletic,Away_Prob_538,Home_Prob_538,Home_ML,Away_ML,Home_Prob_Implied,Away_Prob_Implied,Home_KC_Athletic,Away_KC_Athletic,Home_KC_538,Away_KC_538,Home_Combined,Away_Combined,Bet_Athletic,Bet_538,Bet_Combined
0,2021-09-24,Cardinals,Cubs,0.5082,0.4918,0.51,0.49,125.0,-155.0,0.4444444444444444,0.6078431372549019,0.008524000000000002,0.0,0.008200000000000002,0.0,0.008362000000000001,0.0,907.1581760000003,915.9482000000003,866.1025120000002
16,2021-09-24,Rangers,Orioles,0.5413,0.4587,0.52,0.48,-110.0,-110.0,0.5238095238095238,0.5238095238095238,0.0,0.003672999999999999,0.0,0.0,0.0,0.0,390.8953519999999,0.0,0.0
17,2021-09-24,Pirates,Phillies,0.348,0.652,0.36,0.64,-250.0,195.0,0.7142857142857143,0.33898305084745756,0.0,0.0013641025641025618,0.0,0.003179487179487177,0.0,0.0022717948717948695,145.17325128205104,355.1518974358971,235.3034256410254
18,2021-09-24,Yankees,Red Sox,0.5274,0.47259999999999996,0.5,0.5,-105.0,-115.0,0.5121951219512195,0.5348837209302325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2021-09-24,Nationals,Reds,0.3311,0.6689,0.41,0.59,-185.0,150.0,0.6491228070175439,0.4,0.005636500000000022,0.0,0.0,0.0016666666666666607,0.0,0.0,599.8588760000023,186.16833333333267,0.0
20,2021-09-24,Royals,Tigers,0.5202,0.47979999999999995,0.44,0.56,-105.0,-115.0,0.5121951219512195,0.5348837209302325,0.0,0.0,0.009800000000000007,0.0,0.0,0.0,0.0,1094.6698000000008,0.0
21,2021-09-24,White Sox,Indians,0.505,0.495,0.45,0.55,105.0,-125.0,0.4878048780487805,0.5555555555555556,0.0014047619047619087,0.0,0.012142857142857158,0.0,0.0067738095238095335,0.0,149.50038095238136,1356.3692857142873,701.6040952380962
22,2021-09-24,Mets,Brewers,0.46009999999999995,0.5399,0.42,0.58,-155.0,125.0,0.6078431372549019,0.4444444444444444,0.0,0.002817999999999987,0.0,0.0,0.0,0.0,299.9028319999986,0.0,0.0
23,2021-09-24,Blue Jays,Twins,0.5236,0.4764,0.55,0.45,125.0,-155.0,0.4444444444444444,0.6078431372549019,0.0057519999999999976,0.0,0.0009999999999999963,0.0,0.003375999999999997,0.0,612.1508479999998,111.7009999999996,349.6725759999997
24,2021-09-24,Dodgers,Diamondbacks,0.6314,0.3686,0.68,0.32,180.0,-225.0,0.35714285714285715,0.6923076923076923,0.0017822222222222222,0.0,0.0,0.0,0.0,0.0,189.67121777777777,0.0,0.0
